title_dgs,title_pf,artist_pf,artist_dgs,year,genre_1,genre_2,format_1,label,score,publish_date,reviewer,,,,
Wolf People - Fain,Fain,Wolf People,<Artist 984264 u'Wolf People'>,2013,Rock,,Vinyl, Jagjaguwar,5.9,2013-05-08,Paul Thompson,,,,
Chance The Rapper - Acid Rap,Acid Rap,Chance the Rapper,<Artist 3268583 u'Chance The Rapper'>,2013,Hip Hop,,Vinyl, self-released,8.4,2013-05-07,Jeff Weiss,,,,
Colin Stetson - New History Warfare Vol. 3: To See More Light,New History Warfare Vol. 3: To See More Light,Colin Stetson,<Artist 262225 u'Colin Stetson'>,2013,Jazz,Rock,Vinyl, Constellation,8.1,2013-05-07,Mark Richardson,,,,
Co La - Moody Coup,Moody Coup,Co La,<Artist 2354565 u'Co La'>,2013,Electronic,,Vinyl, Software,7.5,2013-05-07,Andrew Gaerig,,,,
Bill Ryder-Jones - A Bad Wind Blows In My Heart,A Bad Wind Blows in My Heart,Bill Ryder-Jones,<Artist 731602 u'Bill Ryder-Jones'>,2013,Rock,Pop,Vinyl, Domino,5.2,2013-05-07,Dean Van Nguyen,,,,
Savages (2) - Silence Yourself,Silence Yourself,Savages,<Artist 2826633 u'Savages (2)'>,2013,Rock,,Vinyl, Matador / Pop Noire,8.7,2013-05-06,Lindsay Zoladz,,,,
Van Dyke Parks - Songs Cycled,Songs Cycled,Van Dyke Parks,<Artist 259398 u'Van Dyke Parks'>,2013,Rock,Pop,Vinyl, Bella Union,7.2,2013-05-06,Mike Powell,,,,
Neon Neon - Praxis Makes Perfect,Praxis Makes Perfect,Neon Neon,<Artist 888538 u'Neon Neon'>,2013,Electronic,Rock,Vinyl, Lex,7,2013-05-06,Marc Hogan,,,,
Altar Of Plagues - Teethed Glory And Injury,Teethed Glory And Injury,Altar of Plagues,<Artist 1484207 u'Altar Of Plagues'>,2013,Electronic,Rock,Vinyl, Profound Lore,6.8,2013-05-06,Grayson Currin,,,,
Omar-S - Thank You For Letting Me Be Myself Part 1,Thank You For Letting Me Be Myself,Omar S,<Artist 166506 u'Omar-S'>,2013,Electronic,,Vinyl, FXHE,7.5,2013-05-06,Andrew Gaerig,,,,
Deerhunter - Monomania,Monomania,Deerhunter,<Artist 724296 u'Deerhunter'>,2013,Rock,,Vinyl, 4AD,8.3,2013-05-03,Ian Cohen,,,,
Talib Kweli - Prisoner Of Conscious,Prisoner of Conscious,Talib Kweli,<Artist 39908 u'Talib Kweli'>,2013,Hip Hop,,Vinyl, Blacksmith,6.1,2013-05-03,Mike Madden,,,,
"Body, The (3) - Master, We Perish","Master, We Perish",The Body,"<Artist 944387 u'Body, The (3)'>",2013,Rock,,Vinyl, At a Loss,8.1,2013-05-03,Grayson Currin,,,,
Wax Idols - Discipline + Desire,Discipline + Desire,Wax Idols,<Artist 2215515 u'Wax Idols'>,2013,Rock,,Cassette, Slumberland,6.8,2013-05-03,Miles Raymer,,,,
Mikal Cronin - MCII,MCII,Mikal Cronin,<Artist 1103235 u'Mikal Cronin'>,2013,Rock,,Vinyl, Merge,8.4,2013-05-02,Evan Minsker,,,,
Melvins - Everybody Loves Sausages,Everybody Loves Sausages,Melvins,<Artist 87652 u'Melvins'>,2013,Rock,,CD, Ipecac,6.5,2013-05-02,Steven Hyden,,,,
Ola Podrida - Ghosts Go Blind,Ghosts Go Blind,Ola Podrida,<Artist 1079882 u'Ola Podrida'>,2013,Rock,"Folk, World, & Country",Vinyl, Western Vinyl,7.7,2013-05-02,Brian Howe,,,,
Various - Eglo Records Vol.1,Eglo Records Vol. 1,Various Artists,<Artist 194 u'Various'>,2013,Electronic,Hip Hop,CD, Eglo,7.8,2013-05-02,Angus Finlayson,,,,
Connections (3) - Private Airplane,Private Airplane,Connections,<Artist 3301917 u'Connections (3)'>,2013,Rock,,Vinyl, Anyway,7.6,2013-05-02,Aaron Leitko,,,,
Guided By Voices - English Little League,English Little League,Guided By Voices,<Artist 83529 u'Guided By Voices'>,2013,Rock,,Vinyl, Fire,6.8,2013-05-01,Paul Thompson,,,,
Akron/Family - Sub Verses,Sub Verses,Akron/Family,<Artist 425610 u'Akron/Family'>,2013,Rock,,Vinyl, Dead Oceans,7,2013-05-01,Andrew Gaerig,,,,
Various - TRAXX - The House That Garage Built (Sampler),TRAXX: The House That Garage Built,Various Artists,<Artist 194 u'Various'>,2013,Electronic,,Vinyl, Need Want,6.4,2013-05-01,Tim Finney,,,,
Bone Sickness - Alone In The Grave,Alone in the Grave,Bone Sickness,<Artist 2209868 u'Bone Sickness'>,2013,Rock,,Vinyl, 20 Buck Spin,7.7,2013-05-01,Andy O'Connor,,,,
Sandwell District - Fabric 69,Fabric 69,Sandwell District,<Artist 1995140 u'Sandwell District'>,2013,Electronic,,CD, Fabric,7.6,2013-05-01,Larry Fitzmaurice,,,,
!!! - Thr!!!er,Thr!!!er,!!!,<Artist 207714 u'!!!'>,2013,Electronic,Rock,Vinyl, Warp,6,2013-04-30,Brian Howe,,,,
Mark Kozelek & Jimmy LaValle - Perils From The Sea,Perils from the Sea,The Album Leaf / Sun Kil Moon,<Artist 264250 u'Mark Kozelek'>,2013,Electronic,Rock,Vinyl, Caldo Verde,7.3,2013-04-30,Stephen M. Deusner,,,,
Pretty & Nice - Golden Rules For Golden People,Golden Rules for Golden People,Pretty & Nice,<Artist 1360872 u'Pretty & Nice'>,2013,Rock,Pop,Vinyl, Equal Vision,7.5,2013-04-30,Jillian Mapes,,,,
Coliseum (2) - Sister Faith,Sister Faith,Coliseum,<Artist 279813 u'Coliseum (2)'>,2013,Rock,,Vinyl, Temporary Residence,7.5,2013-04-26,Evan Minsker,,,,
Woe (2) - Withdrawal,Withdrawal,Woe,<Artist 1288579 u'Woe (2)'>,2013,Rock,,Vinyl, Candlelight,8,2013-04-26,Grayson Currin,,,,
"Heliocentrics, The - 13 Degrees Of Reality",13 Degrees of Reality,The Heliocentrics,"<Artist 576683 u'Heliocentrics, The'>",2013,Jazz,Funk / Soul,Vinyl, Now Again,7.9,2013-04-26,Nate Patrin,,,,
"Boy Least Likely To, The - The Great Perhaps",The Great Perhaps,The Boy Least Likely To,"<Artist 446141 u'Boy Least Likely To, The'>",2013,Electronic,Rock,Vinyl, Rough Trade,7.1,2013-04-25,Jamieson Cox,,,,
No Joy - Wait To Pleasure,Wait To Pleasure,No Joy,<Artist 1919643 u'No Joy'>,2013,Rock,,Vinyl, Mexican Summer,8,2013-04-24,Ian Cohen,,,,
Anika (9) - Anika EP,Anika EP,Anika,<Artist 1982320 u'Anika (9)'>,2013,Electronic,Rock,Vinyl, Stones Throw,7.4,2013-04-24,Laura Snapes,,,,
Unknown Mortal Orchestra - II,II,Föllakzoid,<Artist 2102143 u'Unknown Mortal Orchestra'>,2013,Rock,Pop,Vinyl, Sacred Bones,6.9,2013-04-24,Paul Thompson,,,,
"Yellowman - Young, Gifted & Yellow","Young, Gifted & Yellow",Yellowman,<Artist 96316 u'Yellowman'>,2013,Reggae,,CD, VP,7.8,2013-04-24,Erin MacLeod,,,,
Junip - Junip,Junip,Junip,<Artist 602688 u'Junip'>,2013,Rock,"Folk, World, & Country",Vinyl, Mute,7,2013-04-23,Stephen M. Deusner,,,,
Big K.R.I.T. - King Remembered In Time,King Remembered In Time,Big K.R.I.T.,<Artist 2077383 u'Big K.R.I.T.'>,2013,Hip Hop,,File, Def Jam / Cinematic,6.8,2013-04-23,Mike Madden,,,,
"Appleseed Cast, The - Illumination Ritual",Illumination Ritual,The Appleseed Cast,"<Artist 292372 u'Appleseed Cast, The'>",2013,Rock,,Vinyl, Graveface,6.9,2013-04-23,Ian Cohen,,,,
Blackout Beach - Blues Trip,Blues Trip,Blackout Beach,<Artist 1082665 u'Blackout Beach'>,2013,Rock,,Vinyl, Blackout Beach,6.1,2013-04-23,Lindsay Zoladz,,,,
Anciients - Heart Of Oak,Heart of Oak,Anciients,<Artist 3241259 u'Anciients'>,2013,Rock,,Vinyl, Season of Mist,6.8,2013-04-23,Grayson Currin,,,,
Phoenix - Bankrupt!,Bankrupt!,Phoenix,<Artist 2269 u'Phoenix'>,2013,Rock,Pop,Vinyl, Glassnote,7.5,2013-04-22,Stuart Berman,,,,
"Shouting Matches, The - Grownass Man",Grownass Man,The Shouting Matches,"<Artist 3256892 u'Shouting Matches, The'>",2013,Rock,,Vinyl, Middle West,6.3,2013-04-22,Steven Hyden,,,,
My Bloody Valentine - M B V,V,Barn Owl,<Artist 6516 u'My Bloody Valentine'>,2013,Rock,,Vinyl, Thrill Jockey,6.8,2013-04-22,Grayson Currin,,,,
Bored Nothing - Bored Nothing,Bored Nothing,Bored Nothing,<Artist 2775847 u'Bored Nothing'>,2013,Rock,,Vinyl, Spunk,7,2013-04-22,Sam Hockley-Smith,,,,
Iron And Wine - Ghost On Ghost,Ghost on Ghost,Iron & Wine,<Artist 96923 u'Iron And Wine'>,2013,"Folk, World, & Country",,Vinyl, Nonesuch,6.1,2013-04-19,Stephen M. Deusner,,,,
Cassie (2) - RockaByeBaby,RockaByeBaby,Cassie,<Artist 398781 u'Cassie (2)'>,2013,Hip Hop,Funk / Soul,File, Interscope / Bad Boy,7.8,2013-04-19,Miles Raymer,,,,
Meat Puppets - Rat Farm,Rat Farm,Meat Puppets,<Artist 88468 u'Meat Puppets'>,2013,Rock,"Folk, World, & Country",Vinyl, Megaforce,5.5,2013-04-19,Paul Thompson,,,,
Cosmin TRG* - Gordian,Gordian,Cosmin TRG,<Artist 567073 u'TRG'>,2013,Electronic,,Vinyl, 50 Weapons,6,2013-04-19,Nate Patrin,,,,
Ghostface Killah And Adrian Younge - Twelve Reasons To Die ,Twelve Reasons to Die,Ghostface Killah & Adrian Younge,<Artist 44958 u'Ghostface Killah'>,2013,Hip Hop,,Vinyl, Wax Poetics,7.4,2013-04-18,Jayson Greene,,,,
Ghost B.C.* - Infestissumam,Infestissumam,Ghost B.C.,<Artist 1966143 u'Ghost (32)'>,2013,Rock,,Vinyl, Loma Vista,5.8,2013-04-18,Grayson Currin,,,,
Houses - A Quiet Darkness,A Quiet Darkness,Houses,<Artist 2040590 u'Houses'>,2013,Electronic,Pop,Vinyl, Downtown,5.6,2013-04-18,Ian Cohen,,,,
Snapper - Snapper EP,Snapper EP,Snapper,<Artist 268802 u'Snapper'>,2013,Rock,,Vinyl, Flying Nun / Captured Tracks,7.5,2013-04-18,Nick Neyland,,,,
"Haxan Cloak, The - Excavation",Excavation,The Haxan Cloak,"<Artist 1675446 u'Haxan Cloak, The'>",2013,Electronic,,Vinyl, Tri Angle,8.7,2013-04-17,Nick Neyland,,,,
David Grubbs - The Plain Where The Palace Stood,The Plain Where the Palace Stood,David Grubbs,<Artist 56194 u'David Grubbs'>,2013,Rock,,Vinyl, Drag City,6.4,2013-04-17,Matthew Murphy,,,,
Life Coach - Alphawaves,Alphawaves,Life Coach,<Artist 3157447 u'Life Coach'>,2013,Electronic,Rock,Vinyl, Thrill Jockey,6.1,2013-04-17,Nick Neyland,,,,
Skagos - Anarchic,Anarchic,Skagos,<Artist 1424225 u'Skagos'>,2013,Rock,,CD, Flenser,6.8,2013-04-17,Kim Kelly,,,,
Major Lazer - Free The Universe,Free the Universe,Major Lazer,<Artist 1474921 u'Major Lazer'>,2013,Reggae,,Vinyl, Secretly Canadian / Mad Decent,5.7,2013-04-16,Nate Patrin,,,,
"Thermals, The - Desperate Ground",Desperate Ground,The Thermals,"<Artist 137897 u'Thermals, The'>",2013,Rock,,Vinyl, Saddle Creek,5,2013-04-16,Ian Cohen,,,,
Yeah Yeah Yeahs - Mosquito,Mosquito,Yeah Yeah Yeahs,<Artist 95405 u'Yeah Yeah Yeahs'>,2013,Electronic,Rock,Vinyl, Interscope,6,2013-04-15,Lindsay Zoladz,,,,
Thee Oh Sees - Floating Coffin,Floating Coffin,Thee Oh Sees,<Artist 1296190 u'Thee Oh Sees'>,2013,Rock,,Vinyl, Castle Face,8,2013-04-15,Evan Minsker,,,,
